en,my
Natural selection might have made turned it into that.,ဆင့်ကဲ ပြောင်းလဲမှု ဖြစ်စဉ်အရ ကျန်ရစ်သူကို ရွေးချယ်သည့် လုပ်ငန်းစဉ်က ဒီဟာကို ဟိုအရာသို့ ပြောင်းလဲသွားစေနိုင်တယ်။
At higher fitness levels evolving populations are more likely to survive.,ပိုမိုမြင့်မားသော ကိုက်ညီမှု အဆင့်များ တွင် ဆင့်ကဲပြောင်းလဲနေသော အဖွဲ့အစည်းသည် အသက်ရှင် ရန် အလားအလာပိုများသည်။
Many factors work together to pull evolving populations to higher fitness levels.,ဆင့်ကဲပြောင်းလဲနေသော အဖွဲ့အစည်းကို ပိုမိုမြင့်မားသော ကိုက်ညီမှု အဆင့်များ သို့ ဆွဲတင် ရန် အကြောင်းရင်း များစွာတို့က အတူတကွ လုပ်ဆောင်ကြသည်။
There are no factors that help evolving populations reach higher fitness levels.,ဆင့်ကဲပြောင်းလဲနေသော အဖွဲ့အစည်းကို ပိုမိုမြင့်မားသော ကိုက်ညီမှု အဆင့်များ သို့ ရောက်ရှိစေရန် ကူညီပေးသည့် အကြောင်းရင်းများ မရှိပါ။
Children carried around big bags for collecting candy and toys on Christmas Day.,ခရစ္စမတ်နေ့တွင် သကြားလုံး နှင့် အရုပ်များ ကောက်ယူ စုဆောင်းရန် အတွက် ကလေးများသည် ကြီးမားသော အိတ်များကို ယူဆောင်သွားကြသည်။
Children did not stay indoors on Christmas Day.,ကလေးများသည် ခရစ္စမတ်နေ့တွင် အိမ်ထဲတွင် မနေခဲ့ကြပါ။
"On Christmas Day, children went to the North Pole to visit Santa.",ခရစ္စမတ်နေ့တွင်၊ ကလေးများသည် ဆန်တာ ဆီ လည်ပတ်ရန် မြောက်ဝင်ရိုးစွန်းသို့ သွားကြသည်။
Children who grow up around parents are always troublesome.,မိဘတွေနဲ့ အတူနေထိုင် ကြီးပြင်းလာတဲ့ ကလေးတွေဟာ ဒုက္ခအိုးတွေ အမြဲဖြစ်လာတာပဲ။
Numerous studies have been done on parent-children bonds.,မိဘနှင့်သားသမီးကြား သံယောဇဉ်ကို လေ့လာမှု အများအပြားကို သုတေသန ပြုလုပ်ခဲ့ကြပြီးပြီ ဖြစ်သည်။
Parent-children bonds are helpful for normal child development.,မိဘနှင့်သားသမီးကြား သံယောဇဉ်သည် ပုံမှန် ကလေး ဖွံ့ဖြိုးမှု အတွက် အထောက်အကူဖြစ်သည်။
How can a parent gain respect from their child if they are acting disrespectfully?,မိဘများကိုယ်တိုင်က မထီလေးစား ပြုမူနေလျှင် မိဘတစ်ယောက်ဟာ သားသမီးဆီက လေးစားမှုကို ဘယ်လို ရနိုင်မှာလဲ။
It is important for children to respect their parents.,ကလေးများသည် သူတို့၏ မိဘများကို လေးစားရန် အရေးကြီးသည်။
It's easy for a parent to gain respect from their child when they are acting disrespectfully towards their spouse.,သူတို့သည် သူတို့၏ အိမ်ထောင်ဖက်အပေါ် မထီလေးစား ပြုမူ သောအခါတွင် မိဘတစ်ဦးသည် သူတို့၏ ကလေးထံမှ လေးစားမှု ရရှိ ရန် လွယ်ကူသည်။
Riddles are boring and teach you nothing.,ပဟေဠိတွေက ငြီးငွေ့စရာကောင်း ပြီး မင်းကို ဘာမှမသင်ပေးဘူး။
Riddles are two things.,ပဟေဠိမှာ အကြောင်းအရာ နှစ်ခုရှိတယ်။
Riddles are very hard to solve.,ပဟေဠိတွေက ဖြေရှင်းရ အလွန် ခက်တယ်။
This is the first part of damage to the rocks.,ဤသည်မှာ ကျောက်တုံးများ ပျက်စီးခြင်း၏ ပထမပိုင်း ဖြစ်သည်။
This is the first part of damage.,ဒါက ပျက်စီးမှုရဲ့ ပထမ အပိုင်း ဖြစ်ပါတယ်။
This is the last part of damage.,ဒါက ပျက်စီးမှုရဲ့ နောက်ဆုံး အပိုင်း ဖြစ်ပါတယ်။
"Good architecture includes aesthetic beauty, as well as economical function.",ကောင်းမွန်သော ဗိသုကာလက်ရာတခုတွင် အလှအပ ကိစ္စနှင့်အတူ တွက်ခြေကိုက်အောင် လုပ်ပေးသည့် အလုပ်လည်း ပါဝင်သည်။
That does not conclude that good architecture is only designed for functionality.,ကောင်းမွန်သော ဗိသုကာပညာသည် အလုပ်ဖြစ်မြောက်မှုအတွက်သာ ဒီဇိုင်းထုတ်သည် ဟု ကောက်ချက်မချနိုင်ပါ။
The single defining attribute of good architecture is utility.,ကောင်းမွန်သော ဗိသုကာလက်ရာ၏ တစ်ခုတည်းသော အဓိပ္ပါယ် ဖွင့်ဆိုချက်မှာ အသုံးဝင်မှု ဖြစ်သည်။
The piata is colorful.,piata သည် အရောင်အသွေးစုံသည်။
The piata lays on the ground.,piata သည် မြေပြင်ပေါ်တွင် လဲနေသည်။
The pieata is up in the air.,piata သည် လေထဲတွင် လွင့်နေသည်။
Erale can mean that something is O.K.,Erale ကို တစ်စုံတစ်ခုသည် အိုကေသည်ဟု အနက်ဖွင့်နိုင်သည်။
Erale has only one meaning.,Erale မှာ အဓိပ္ပါယ် တစ်ခုသာ ရှိတယ်။
Erale is not a commonly used word.,Erale သည် အသုံးများသော စကားလုံး တစ်ခု မဟုတ်ပါ။
It is clear that there is order in organisms.,သက်ရှိများတွင် စည်းစနစ် ရှိကြောင်း ထင်ရှားသည်။
Organisms are defined by chaos; there is not a hint of order in them.,သက်ရှိများဟူသည်မှာ ပရမ်းပတာဖြစ်မှုဟု အဓိပ္ပါယ် ဖွင့်ဆိုနိုင်သည်၊ ၄င်းတို့တွင် အစီအစဉ်ကျနမှု တစိုးတစမျှ မရှိ။
There is a theory that statistical averaging is the source of order in organisms.,စာရင်းအင်းပညာအရ ပျမ်းမျှခြင်းသည် သက်ရှိများတွင် အစီအစဉ်ကျနမှု၏ ပင်မ အရင်းအမြစ်ဖြစ်သည်ဟူသော သီအိုရီ တစ်ခု ရှိသည်။
Children today spend more time watching TV than reading.,ယနေ့ခေတ် ကလေးများသည် စာဖတ်ခြင်းထက် တီဗွီ ကြည့်ခြင်းမှာ အချိန် ပိုသုံးကြသည်။
"TV has not been invented yet, which is why most children spend a lot of time reading.",တီဗွီကို မတီထွင်ရသေးသောကြောင့် ကလေးငယ် အများစုသည် စာဖတ်ရန်အတွက် အချိန်အများအပြားကို အသုံးချကြသည်။
"Today's children have access to TV, and they spend a lot of time watching it.",ယနေ့ခေတ် ကလေးများသည် တီဗီကြည့်ခွင့်ရကြ ပြီး ၊ သူတို့သည် ၎င်းကိုကြည့်ရန် အချိန်များစွာ သုံးစွဲကြသည်။
Lipstadt was a cook.,Lipstadt သည် စားဖိုမှုး တစ်ယောက် ဖြစ်ခဲ့သည်။
Lipstadt wrote a book that got excellent reviews.,Lipstadt သည် အလွန်ကောင်းမွန်သော ဝေဖန်ချက်များကို ရထားသည့် စာအုပ် တစ်အုပ်ကို ရေးသားခဲ့သည်။
Lipstadt wrote a book.,Lipstadt က စာအုပ် တစ်အုပ်ကို ရေးခဲ့တယ်။
Catarino Garza was a well known Texas Ranger.,Catarino Garza သည် လူသိများသော တက္ကဆက်ရိန်ဂျာ တစ်ယောက် ဖြစ်သည်။
Gregorio Cortez is one of the folk heroes that confronted the Texas Rangers.,Gregorio Cortezသည် တက္ကဆက်ရိန်ဂျာများကို ထိပ်တိုက် ရင်ဆိုင်ခဲ့သော လူထုသူရဲကောင်းများထဲမှ တစ်ဦးဖြစ်သည်။
Juan Cortina led the group that confronted the Texas Rangers.,Juan Cortinaသည် တက္ကဆက်ရိန်ဂျာများနှင့် ထိပ်တိုက် ရင်ဆိုင်ခဲ့သော အဖွဲ့ကို ဦးဆောင်ခဲ့သည်။
"According to this book, parents shouldn't spend time with their children.",ဒီစာအုပ်အရဆိုရင် မိဘတွေဟာ သူတို့ရဲ့ ကလေးတွေနဲ့အတူ အချိန်အများအပြား မသုံးသင့်ပါဘူး။
"In this book, I'll cover topics that parents and their children can implement while spending time together.",ဒီ စာအုပ်မှာ ၊ မိဘတွေနဲ့ သူတို့ သားသမီးတွေ အတူတူ အချိန်ဖြုန်းရင်း အကောင်အထည်ဖော်နိုင်တဲ့ အကြောင်းအရာတွေကို ကျွန်တော် ဖော်ပြပါမယ်။
This parenting book is on the New York Times bestseller's list.,ဤ မိဘအုပ်ထိန်းမှု စာအုပ်သည် နယူးယောက်တိုင်းမ် ၏ အရောင်းရဆုံး စာရင်း တွင် ရှိသည်။
"Since the war ended, there has been no amendment to the constitution.",စစ်ပွဲ ပြီးဆုံး ကတည်းက ၊ ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ပြင်ဆင်ခြင်း မရှိသေးပါဘူး။
There were only four amendments to the constitution before the war.,စစ်ပွဲ မဖြစ်မီက ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ပြင်ဆင်မှု လေးခုသာ ရှိခဲ့သည်။
There were some amendments to the constitution after the war.,စစ်ပွဲ ပြီးနောက် ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ပြင်ဆင်မှု အချို့ ရှိခဲ့သည်။
"Molecular species never form, they jsut have always been.",မော်လီကျူး မျိုးစိတ်များသည် ဘယ်သောအခါကမှ ပေါ်ပေါက်မလာခဲ့၊ ၎င်းတို့သည် အမြဲရှိနေခဲ့ပြီး ဖြစ်သည်။
Some molecular species form in black clouds.,အချို့သော မော်လီကျူး မျိုးစိတ်များသည် အနက်ရောင် တိမ်တိုက်များတွင် ပေါ်ပေါက်လာကြသည်။
Some molecular species form when a cloud evolves.,တိမ်တိုက် တစ်ခု ဆင့်ကဲပြောင်းလဲလာ သောအခါ အချို့သော မော်လီကျူး မျိုးစိတ်များ ပေါ်ပေါက်ကြသည်။
"Established neurons branch out to form connections with other neurons, which enables them to perform various functions.",တည်ရှိပြီး နျူရွန်များသည် အခြားသော နျူရွန်များနှင့် ဆက်သွယ်မှုများ ပြုလုပ်ရန် ခွဲထွက်လာခြင်းကြောင့် ၊ ၎င်းတို့အား အမျိုးမျိုးသော လုပ်ငန်းဆောင်တာများကို လုပ်ဆောင်နိုင်စေပါသည်။
Neurons must be fully established before they can perform certain functions.,အချို့သော လုပ်ငန်းဆောင်တာများကို မလုပ်နိုင်ဆောင်မီ နျူရွန်များသည် အပြည့်အဝ တည်ရှိပြီးဖြစ်ရပါမည်။
Neurons operate independently and never need to connect with other neurons.,နျူရွန်များသည် အမှီအခိုကင်းစွာ လုပ်ဆောင်နေ ပြီး အခြားသော နျူရွန်များ နှင့် ချိတ်ဆက် ရန် ဘယ်တော့မှ မလိုအပ်ပါ။
"If it weren't for the law, we would have disobeyed the commander.",ဥပဒေကြောင့်သာ ကျွန်တော်တို့ ဒုတိယ ဗိုလ်မှူးကြီး၏ အမိန့်ကို မဖီဆန်ခဲ့ကြခြင်း ဖြစ်သည်။
The commander knows that we will never listen to anything he says.,သူ ပြောသမျှတွေကို ကျွန်တော်တို့ ဘယ်တော့မှ နားမထောင်ဘူးဆိုတာ တပ်မှူးက သိသည်။
Nothing was any different in 1863 because it wasn't a country yet.,နိုင်ငံ တစ်ခု မဟုတ်သေးတဲ့ အတွက်ကြောင့် ၁၈၆၃ မှာလဲ အခုနဲ့ဆို ဘာမှ မထူးခြားဘူး။
The nation was changing a lot in 1863.,တိုင်းပြည်သည် ၁၈၆၃ တွင် များစွာ ပြောင်းလဲခဲ့သည်။
The nation was changing because of the political unrest in 1863.,မှာ နိုင်ငံရေး မငြိမ်မသက်မှုတွေကြောင့် တိုင်းပြည်က ပြောင်းလဲနေခဲ့တယ်။
Anyone who is suspected of crime has no rights at all.,ပြစ်မှုကျူးလွန်သည်ဟု သံသယရှိသူ မည်သူမဆို မည်သည့် ရပိုင်ခွင့် အခွင့်အရေးမျှ မရှိပါ။
Every criminal suspect has a right to a lawyer.,ရာဇ၀တ်မှု ကျူးလွန်သည်ဟု သံသယရှိသူတိုင်းတွင် ရှေ့နေ တစ်ဦး ရပိုင်ခွင့် တစ်ခု ရှိသည်။
People who are suspected of crime have these rights.,ရာဇဝတ်မှု ကျူးလွန်သည်ဟု သံသယရှိသူတိုင်းတွင် ဒီရပိုင်ခွင့်များ ရှိသည်။
The engine block has a cylinder hole.,အင်ဂျင်ဘလောက်တွင် ဆလင်ဒါပုံစံ တွင်းချိုင့် တစ်ခု ရှိသည်။
The engine block has a hole in motorcycles.,မော်တော်ဆိုင်ကယ်များရှိ အင်ဂျင်ဘလောက်တုံးတွင် တွင်းချိုင့်တခု ရှိသည်။
The engine block has no holes.,အင်ဂျင်ဘလောက်တုံးတွင် အပေါက်များမရှိပါ။
A spin glass is a magnet.,spin glass တစ်ခုသည် သံလိုက် တစ်ခု ဖြစ်သည်။
A spin glass is a very strong magnet.,spin glass တစ်ခုသည် အလွန် အားကောင်းသော သံလိုက် တစ်ခု ဖြစ်သည်။
Spin glasses have no magnetic force.,spin glass များတွင် သံလိုက် စွမ်းအား မရှိပါ။
Many people today still speak one version of pachuco or the other.,ယနေ့ လူ အတော်များများသည် Pachuco ၏ မူကွဲ တစ်မျိုး မဟုတ် အခြားတစ်မျိုးကို ပြောဆိုနေကြဆဲဖြစ်သည်။
The building blocks of the pachuco speech are English and Spanish.,pachuco စကား၏ အခြေခံ တည်ဆောက်တုံးတို့မှာ အင်္ဂလိပ် ဘာသာစကားနှင့် စပိန် ဘာသာစကားတို့ ဖြစ်သည်။
The pachuco speech is a fusion of German and Spanish.,pachuco စကားသည် ဂျာမန်နှင့် စပိန်ဘာသာစကားတို့ ပေါင်းစပ်မှုတခု ဖြစ်သည်။
Advanced geography classes are postponed until next semester.,အဆင့်မြင့် ပထဝီဝင် အတန်းများကို လာမည့် စာသင်နှစ်ဝက်အထိ ရွှေ့ဆိုင်းထားသည်။
All science classrooms are located down the next hallway.,သိပ္ပံ စာသင်ခန်း အားလုံးသည် လာမည့် လူသွားစင်္ကြန် တွင် တည်ရှိသည်။
The general study of living things is nearby.,သက်ရှိ အရာများကို ယေဘုယျ လေ့လာမှုကို အနီးအနားတွင်ပင် ပြုလုပ်နိုင်သည်။
"The moment the priest places his hand on the missal, a miracle will occur and he will disappear.",ဘုန်းကြီးသည် ဝတ်ပြုစာအုပ်ပေါ် သူ၏ လက်ကို တင်လိုက်သည့် အခိုက်အတန့်မှာ ၊ အံ့ဖွယ်ဖြစ်ရပ် တစ်ခု ပေါ်လာ ပြီး သူသည် ပျောက်ကွယ်သွားမည်ဖြစ်သည်။
The priest becomes invisible after placing his hand on the book.,ဘုန်းကြီးက စာအုပ်ပေါ် သူ၏လက်ကို တင်ထားခဲ့ ပြီးနောက် ကိုယ်ပျောက်သွားသည်။
The priest takes the book and throws it into the fire to burn for warmth.,ဘုန်းကြီးက စာအုပ်ကိုယူ ၍ အနွေးဓာတ်ရစေရန် မီးထဲသို့ ၎င်းကို ပစ်ချ မီးရှို့လိုက်သည်။
The 23rd amendment says you can vote for the president if you live in California.,သင်သည် ကာလီဖိုးနီးယားတွင် နေထိုင်ပါက သမ္မတ ရွေးကောက်ပွဲအတွက် သင် မဲပေးနိုင်သည်ဟု 23 ကြိမ်မြောက် ပြင်ဆင်ချက်တွင် ပြဌာန်းထားသည်။
The 23rd amendment says you can vote for the president if you live in the capital unless you were a felon.,သင်သည် မြို့တော်တွင် နေထိုင်ပြီး ရာဇ၀တ်မှုကြီးတစ်ခု ကျူးလွန်ထားခြင်း မရှိပါက သမ္မတ ရွေးကောက်ပွဲအတွက် သင် မဲပေးနိုင်သည်ဟု ၂၃ ကြိမ်မြောက် ပြင်ဆင်ချက်တွင် ပြဌာန်းထားသည်။
The 23rd amendment says you can vote for the president if you live in the capital.,သင်သည် မြို့တော်မှာ နေထိုင်လျှင် သမ္မတ ရွေးကောက်ပွဲအတွက် သင် မဲပေးနိုင်တယ်လို့ ၂၃ ကြိမ်မြောက် ပြင်ဆင်ချက်တွင် ပြဌာန်းထားပါတယ်။
Relajo is not funny at all.,Relajo သည် လုံးဝ ရယ်စရာ မကောင်းပါ။
Relajo makes jokes about the economy.,Relajo သည် စီးပွားရေးနှင့် ပတ်သက်၍ ဟာသ လုပ်သည်။
Relajo told jokes.,Relajo က ဟာသတွေ ပြောခဲ့သည်။
The low demand and high demand groups combine to a total of twenty.,ယ်လိုအား နည်း နှင့် ဝယ်လိုအား မြင့် အုပ်စုများ ကို စုပေါင်းလိုက်ပါက စုစုပေါင်း နှစ်ဆယ် ဖြစ်သည်။
The low demand group averages below three hundred.,ဝယ်လိုအား နည်းသော အုပ်စုသည် ပျှမ်းမျှအားဖြင့် သုံးရာအောက် ရှိသည်။
There are two groups that are defined by demand variation.,ဝယ်လိုအား အပြောင်းအလဲဖြင့် သတ်မှတ်သည့် အုပ်စု နှစ်စု ရှိပါသည်။
The states change their electoral process when they see fit.,သင့်လျော်သည်ဟု မြင်ပါက ပြည်နယ်များက ၎င်းတို့၏ ရွေးကောက်ပွဲ လုပ်ငန်းစဉ်ကို ပြောင်းလဲသည်။
The states never change the electoral process because they aren't allowed.,ပြည်နယ်များကို ခွင့်မပြုထားသောကြောင့် သူတို့သည် သူတို့၏ ရွေးကောက်ပွဲ လုပ်ငန်းစဉ်ကို ဘယ်တော့မှ မပြောင်းလဲကြပါ။
The states rule the electoral process.,ပြည်နယ်များသည် ရွေးကောက်ပွဲ လုပ်ငန်းစဉ်ကို အုပ်စိုးသည်။
Their lack of motivation and doubts in their abilities stem from past failures.,၎င်းတို့၏ စိတ်အားထက်သန်မှု ကင်းမဲ့ခြင်း နှင့် သူတို့၏ စွမ်းရည်များကို သံသယဝင်ခြင်းတို့သည် ပြီးခဲ့သော ကျရှုံးမှုတွေဆီမှ ပေါက်ဖွားလာခြင်းဖြစ်သည်။
These individuals are overconfident and rush in to handle even difficult problems.,ဤပုဂ္ဂိုလ်များသည် ယုံကြည်မှုလွန်ကဲ ပြီး ခက်ခဲသော ပြဿနာများကိုပင် ကိုင်တွယ်ဖြေရှင်းရန် အလျင်စလို လုပ်ဆောင်ကြသည်။
They retreat from difficult problems and have doubts about their abilities.,သူတို့ဟာ ခက်ခဲတဲ့ ပြဿနာတွေကနေ နောက်ဆုတ်ထွက်ပြေး ပြီး သူတို့ရဲ့ စွမ်းရည်တွေနဲ့ ပတ်သက်ပြီး သံသယတွေ ရှိကြတယ်။
I should ask her if she needs help with homework.,အိမ်စာအတွက် သူမ အကူအညီလို မလိုကို ကျွန်တော် သူမကို မေးသင့်ပါသည်။
I should ask myself how to help her with homework.,အိမ်စာလုပ်ရာမှာ သူမကို ဘယ်လို ကူညီရမလဲလို့ ကျွန်တော် ကိုယ့်ဘာသာကိုယ် မေးသင့်ပါတယ်။
I should not be tempted to help her with homework.,အိမ်စာအတွက် သူမကို ကူညီဖို့ ကျွန်တော် စိတ်အလို မလိုက်သင့်ပါဘူး။
Ancient moradas can be found in the northern part of New Mexico.,နယူး မက္ကဆီကို ၏ မြောက်ပိုင်းမှာ ရှေးခေတ် moradas များကို တွေ့နိုင်ပါတယ်။
There are no known existing photographs of ancient moradas in New Mexico.,နယူး မက္ကဆီကိုရှိ ရှေးခေတ် moradas များ ၏ ဓာတ်ပုံများ တည်ရှိနေဆဲ ဖြစ်ကြောင်း မသိရပါ။
"Wallis and Varjabedian provide professional, colorful photographs of the old New Mexico moradas.",Wallis နှင့် Varjabedian တို့သည် နယူး မက္ကဆီကို moradas များ ၏ ပရိုဖက်ရှင်နယ် အဆင့်အတန်းမီ ရောင်စုံ ဓာတ်ပုံများကို ထောက်ပံ့ပေးထားသည်။
Our nation is built on the grounds of social and political justice.,လူမှုရေး နှင့် နိုင်ငံရေးနှင့်ဆိုင်သော တရားမျှတမှုတို့အပေါ် အခြေခံ၍ ကျွန်ုပ်တို့ နိုင်ငံကို တည်ဆောက်ထားသည်။
Social and political justice should foster human equality.,လူမှုရေး နှင့် နိုင်ငံရေးဆိုင်ရာ တရားမျှတမှုသည် လူသားတို့၏ တန်းတူညီမျှမှုကို ဖော်ဆောင်ပေးသင့်သည်။
We should never think of human equality when we consider social and political justice.,ကျွန်တော်တို့ လူမှုရေး နှင့် နိုင်ငံရေးနှင့်ဆိုင်သော တရားမျှတမှုကို ထည့်သွင်းစဉ်းစားသည့်အခါ ကျွန်တော်တို့ လူသားတန်းတူရေးကို ဘယ်တော့မှ မစဉ်းစားသင့်ပါ။
Katz narced on the drug trade.,Katz သည် မူးယစ်ဆေးဝါး ရောင်းဝယ်ဖောက်ကားမှုကို ရင်ဆိုင်ခဲ့ရသည်။
Katz only wrote about what other people did.,Katz သည် တခြားသူတွေ ဘာလုပ်ခဲ့တယ်ဆိုတာတွေကိုသာ ရေးခဲ့တယ်။
Linda Katz was a narc.,Linda Katz သည် မူးယစ်အရာရှိ တစ်ယောက် ဖြစ်ခဲ့သည်။
They fought about how rich CEOs were.,သူတို့သည် စီအီးအိုတွေ ဘယ်လို ချမ်းသာကြတယ်ဆိုတာ နှင့်ပတ်သက်၍ ငြင်းခုန်ခဲ့သည်။
They fought about the poor vs the rich.,သူတို့သည် ဆင်းရဲခြင်း နှင့် ချမ်းသာခြင်း အကြောင်း ငြင်းခုန်ခဲ့သည်။
They fought about the weather.,သူတို့သည် ရာသီဥတု နှင့်ပတ်သက်၍ ငြင်းခုန်ခဲ့သည်။
Hominids have evolved over the past few million years.,Hominids များသည် လွန်ခဲ့သော နှစ်သန်းပေါင်း အနည်းငယ်အတွင်း ဆင့်ကဲပြောင်းလဲလာခဲ့သည်။
The econosphere of modern humans is much simpler than that of ancient hominids.,ခေတ်သစ် လူသားများ၏ စီးပွားရေးနယ်ပယ်သည် ရှေးခေတ် Hominids များ ထက် များစွာရိုးရှင်းပါသည်။
The econospheres of hominids have doubled in complexity every generation.,Hominids များ၏ စီးပွားရေးနယ်ပယ်များသည် မျိုးဆက်တိုင်းတွင် နှစ်ဆ ပိုမို ရှုပ်ထွေးလာခဲ့သည်။
Hollow walls let in a lot of noise from the park.,အခေါင်းပေါက် နံရံများသည် ပန်းခြံမှ ဆူညံသံ အများအပြားကို ဝင်ရောက်စေပါသည်။
We appreciate the hollow walls and flimsy doors.,နံရံပေါက်များ နှင့် ပါးလွှာ ပျော့ပျောင်းသော တံခါးများကို ကျွန်ုပ်တို့ တန်ဖိုးထားပါသည်။
We are not happy with hollow walls and flimsy doors.,နံရံပေါက်များ နှင့် ပါးလွှာပျော့ပျောင်းသော တံခါးများအတွက် ကျွန်ုပ်တို့ မပျော်ရွှင်ပါ။
A parent knows if language development is normal.,ဘာသာစကား ဖွံ့ဖြိုးမှုက ပုံမှန်ဖြစ်တယ်ဆိုလျှင် မိဘ တစ်ဦး က သိတယ်။
A parent thinks being unable to speak by two years old is abnormal.,အသက်နှစ်နှစ်အရွယ်တွင် စကားမပြောနိုင်ခြင်းသည် ပုံမှန်မဟုတ်ဟု မိဘ တစ်ဦး က ထင်သည်။
How does a parent know if language development is normal?,ဘာသာစကား ဖွံ့ဖြိုးမှုက ပုံမှန်ဟုတ်မဟုတ် မိဘ တစ်ဦး က ဘယ်လိုသိသလဲ?
At this time there are no details available.,ဒီ အချိန်မှာ အသေးစိတ်အချက်အလက်များကို မရနိုင်သေးပါ။
The details are visible.,အသေးစိတ်ကို မြင်နိုင်ပါတယ်။
The details have been printed out on legal paper for everyone to see.,အသေးစိတ်အချက်အလက်များကို လူတိုင်း ကြည့်ရှု့နိုင်ရန် တရားဝင် စာရွက်ပေါ်တွင် ပုံနှိပ်ထားသည်။
I am telling you that I was given knowledge about everything.,အရာရာတိုင်း နဲ့ပတ်သက်ပြီး အသိပညာကို ငါက ရရှိထားတယ်လို့ ငါ မင်းကို ပြောနေတာ။
It is the detective's death that I was informed about.,ကျွန်တော်ကို အသိပေးခဲ့တဲ့ အကြောင်းကတော့ စုံထောက်ရဲ့ သေဆုံးမှုအကြောင်း ဖြစ်ပါတယ်။
There are many details that were hidden from me.,ငါ မသိရှိခဲ့သော အသေးစိတ်အချက်များစွာ ရှိပါသည်။
He wanted to ask Lord Julian something.,သူသည် သခင် Julian ကို တစ်စုံတစ်ခု မေးချင်ခဲ့သည်။
He wanted to ask Lord Julian to spare his wife.,သူသည် သခင် Julian ကို သူ့မိန်းမ၏ အသက်ကို ချမ်းသာပေးရန် တောင်းဆိုချင်သည်။
Lord Julian was nowhere to be seen.,သခင် Julian ကို မည်သည့်နေရာတွင်မှ မတွေ့ရတော့ပါ။
Captain Blood was able to think his disgruntled thoughts without interruption.,ကပ္ပတိန် Blood သည် သူ၏ မကျေမနပ်ဖြစ်သော အတွေးများကို အနှောင့်အယှက် မရှိဘဲ တွေးနိုင်ခဲ့သည်။
Captain Blood's thoughts were broken by some noises.,အသံတချို့ကြောင့် ကပ္ပတိန် Blood ၏ အတွေးများသည် လွှင့်စင်သွားသည်။
The puppy's screams jolted the captain from his ruminations.,ခွေးလေး၏အော်သံသည် ကပ္ပတိန်၏ စားမြုံ့ပြန်ခြင်းကို တုန်လှုပ်စေခဲ့သည်။
Jeremy Pitt answered the laugh by giggling and throwing an uppercut into the laugher's face.,Jeremy Pitt က တခစ်ခစ်ရယ်လိုက်ပြီးနောက် ရယ်နေသူ၏ မျက်နှာကို ပင့်လက်သီးတလုံး ထိုးလိုက်ခြင်းဖြင့် ရယ်မောခြင်းကို တုံ့ပြန်ခဲ့သည်။
Jeremy Pitt swore to fight for his country and his queen.,Jeremy Pitt သည် သူ့နိုင်ငံ နှင့် သူ၏ဘုရင်မ အတွက် တိုက်ပွဲဝင်ရန် သစ္စာဆိုခဲ့သည်။
Someone laughed near Jeremy Pitt.,တစ်စုံတစ်ယောက်သည် Jeremy Pitt အနီးမှာ ရယ်မောနေခဲ့တယ်။
You treated me kindly when I was a slave in Barbados.,ငါ ဘာဘေးဒိုးစ်မှာ ကျွန် တစ်ယောက် ဖြစ်ခဲ့တုန်းက သင်က ငါ့ကို ကြင်ကြင်နာနာ ဆက်ဆံခဲ့တယ်။
"You were incredibly cruel to me, and treated me worse than dirt.",မင်းက ငါ့အပေါ် မယုံနိုင်လောက်အောင် ရက်စက်ခဲ့ပြီး ၊ ငါ့ကို မြေမှုန့်ကို ဆက်ဆံတာထက်တောင် ပိုဆိုးအောင် ဆက်ဆံခဲ့တယ်။
Your uncle beat me hard everyday when he owned me.,သူငါ့ကိုပိုင်ဆိုင်တုန်းက မင်းရဲ့ဦးလေးက ငါ့ကို နေ့တိုင်း အပြင်းအထန် ရိုက်နှက်တယ်။
Calverley knew what the parchment contained.,Calverley သည် စာရွက်တွင် ပါ၀င်သည်များကို သိခဲ့သည်။
Captain Blood gave Calverley a document.,ကပ္ပတိန် Blood သည် ကယ်လ်ဗာလေကို စာရွက်စာတမ်း တစ်ခု ပေးခဲ့တယ်။
Captain Blood ripped the parchment into shreds.,ကပ္ပတိန် Blood သည် စာရွက်ကို အစိတ်စိတ်အမြွှာမြွှာ ဆုတ်ဖြဲခဲ့သည်။
A lush landscape was within sight.,စိမ်းလန်းစိုပြေသော ရှုခင်း တစ်ခု ကို မြင်နေရပြီ။
The island they were approaching was uninhabited.,သူတို့ ချဉ်းကပ်ခဲ့တဲ့ ကျွန်းက လူသူမရှိခဲ့ဘူး။
"They could not see any land for miles, only unending ocean.",မိုင်ပေါင်းများစွာအတွင်း မည်သည့်ကုန်းမြေကိုမျှ သူတို့ မမြင်နိုင်ခဲ့၊ အဆုံးမရှိသော သမုဒ္ဒရာများသာ မြင်နိုင်ခဲ့သည်။
"His Majesty has envoys, and I am one of them.",ဘုရင်မင်းမြတ်တွင် သံတမန်များ ရှိပြီး ၊ ငါသည် ၎င်းတို့အထဲမှ တစ်ဦး ဖြစ်သည်။
His Majesty sent me here about a week ago.,လွန်ခဲ့တဲ့ တစ်ပတ်လောက်က ဘုရင်မင်းမြတ်က ကျွန်တော့်ကို ဒီကို စေလွှတ်ခဲ့တယ်။
